Areaname,FIPS,Total_Area_sq_mi_LND010190D,LND010200D,LND110180D,LND110190D,Land_Area_sq_mi_LND110200D,LND110210D,Water_Area_sq_miLND210190D,LND210200D
"Howard, MO",29089,470.58,470.55,464.61,465.75,465.74,463.85,4.83,4.82
"Howell, MO",29091,928.39,928.33,927.58,927.83,927.74,927.25,0.56,0.59
"Iron, MO",29093,552.09,552.05,552.02,551.42,551.34,550.26,0.67,0.71
"Jackson, MO",29095,616.16,616.41,610.88,604.82,604.84,604.46,11.34,11.57
"Jasper, MO",29097,641.37,641.32,641.24,639.82,639.73,638.49,1.55,1.59
"Jefferson, MO",29099,664.12,664.09,661.1,656.83,656.8,656.63,7.29,7.29
"Johnson, MO",29101,833.09,833.03,833.57,830.63,830.44,829.28,2.46,2.59
"Knox, MO",29103,506.8,506.77,506.66,505.73,505.71,504.01,1.07,1.07
"Laclede, MO",29105,768.03,768,767.54,765.89,765.85,764.72,2.14,2.14
"Lafayette, MO",29107,638.9,638.86,632.49,629.37,629.31,628.43,9.53,9.55
"Lawrence, MO",29109,613.42,613.38,613.37,613.12,613.08,611.74,0.3,0.3
"Lewis, MO",29111,510.88,510.85,508.52,505.05,505.01,505.04,5.83,5.85
"Lincoln, MO",29113,640.44,640.41,627.49,630.51,630.49,626.56,9.93,9.92
"Linn, MO",29115,621.5,621.46,619.6,620.39,620.35,615.56,1.11,1.11
"Livingston, MO",29117,538.51,538.48,536.51,534.64,534.52,532.33,3.87,3.95
"McDonald, MO",29119,539.74,539.7,540.37,539.55,539.51,539.48,0.19,0.19
"Macon, MO",29121,812.58,812.53,796.54,803.82,803.77,801.23,8.76,8.76
"Madison, MO",29123,497.64,497.6,497.21,496.77,496.73,494.39,0.87,0.87
"Maries, MO",29125,530.01,529.97,528.34,527.8,527.73,526.98,2.21,2.25
"Marion, MO",29127,444.07,444.05,438.22,438.1,438.07,436.92,5.97,5.97
"Mercer, MO",29129,455.21,455.18,454.15,454.46,454.18,453.84,0.75,1
"Miller, MO",29131,599.98,599.94,592.73,592.27,592.26,592.6,7.71,7.69
"Mississippi, MO",29133,428.93,428.91,409.83,413.18,413.16,411.58,15.75,15.75
"Moniteau, MO",29135,418.87,418.85,416.71,416.54,416.52,415.03,2.33,2.33
"Monroe, MO",29137,670.26,670.23,669.92,646.02,645.98,647.65,24.24,24.24
"Montgomery, MO",29139,541.97,540.34,540.1,538.72,537.46,536.25,3.25,2.88
"Morgan, MO",29141,613.94,613.89,593.91,597.48,597.41,597.63,16.46,16.48
"New Madrid, MO",29143,698.07,698.02,658.31,678.06,678.01,674.84,20.01,20.01
"Newton, MO",29145,626.72,626.66,626.67,626.48,626.42,624.77,0.24,0.24
"Nodaway, MO",29147,877.81,877.75,875.2,876.68,876.62,876.96,1.13,1.13
"Oregon, MO",29149,791.65,791.59,792.09,791.47,791.4,789.8,0.18,0.18
"Osage, MO",29151,613.44,613.41,605.64,606.14,606.11,604.35,7.3,7.3
"Ozark, MO",29153,755.13,755.07,730.68,746.84,742.15,744.97,8.29,12.92
"Pemiscot, MO",29155,512.44,512.41,517.49,493.11,493.08,492.54,19.33,19.33
"Perry, MO",29157,484.3,484.28,473.49,474.69,474.67,474.35,9.61,9.61
"Pettis, MO",29159,686.38,686.34,686.2,685.03,684.82,682.22,1.35,1.52
"Phelps, MO",29161,674.32,674.28,673.56,672.89,672.85,671.78,1.43,1.43
"Pike, MO",29163,684.84,684.81,673.34,672.93,672.82,670.44,11.91,11.99
"Platte, MO",29165,427.26,427.22,421.11,420.37,420.33,420.19,6.89,6.89
"Polk, MO",29167,642.51,642.46,636.09,637.25,637.2,635.52,5.26,5.26
"Pulaski, MO",29169,551.44,551.41,549.88,547.05,547.02,547.1,4.39,4.39
"Putnam, MO",29171,519.7,519.66,520.47,517.96,517.9,517.32,1.74,1.76
"Ralls, MO",29173,483.84,483.82,481.57,471.03,471,469.78,12.81,12.82
"Randolph, MO",29175,487.69,487.65,476.86,482.43,482.32,482.68,5.26,5.33
"Ray, MO",29177,573.62,573.57,568.43,569.51,569.47,568.81,4.11,4.11
"Reynolds, MO",29179,814.47,814.41,808.5,811.26,811.2,808.48,3.21,3.21
"Ripley, MO",29181,631.71,631.66,631.49,629.51,629.47,629.54,2.2,2.2
"St. Charles, MO",29183,593.54,592.35,557.84,561.44,560.42,560.44,32.1,31.93
"St. Clair, MO",29185,701.95,701.9,698.51,676.72,676.66,669.98,25.23,25.25
"Ste. Genevieve, MO",29186,508.96,508.94,503.84,502.42,502.39,499.15,6.54,6.55
"St. Francois, MO",29187,452.43,452.4,451.11,449.5,449.46,451.89,2.93,2.94
"St. Louis, MO",29189,523.61,523.69,505.55,507.76,507.81,507.8,15.85,15.89
"Saline, MO",29195,764.62,764.59,754.78,755.58,755.55,755.5,9.04,9.04
"Schuyler, MO",29197,308.18,308.16,308.6,307.89,307.87,307.3,0.29,0.29
"Scotland, MO",29199,439.29,439.25,438.4,438.5,438.47,436.67,0.79,0.79
"Scott, MO",29201,426.06,426.04,422.94,421.04,421.01,419.99,5.02,5.03
"Shannon, MO",29203,1004.05,1003.99,1003.8,1003.9,1003.83,1003.82,0.15,0.15
"Shelby, MO",29205,502.45,502.43,500.83,500.91,500.93,500.86,1.54,1.49
"Stoddard, MO",29207,828.99,828.94,815,827.19,827.12,823.22,1.8,1.82
"Stone, MO",29209,510.95,510.91,450.9,463.27,463.22,464.03,47.68,47.68
"Sullivan, MO",29211,651.48,651.43,651.45,651,650.95,647.98,0.48,0.48
"Taney, MO",29213,651.53,651.48,607.76,632.41,632.36,632.44,19.12,19.12
"Texas, MO",29215,1179.33,1179.24,1180.42,1178.64,1178.54,1177.27,0.69,0.7
"Vernon, MO",29217,837.11,837.04,836.99,834.02,833.95,826.4,3.09,3.09
"Warren, MO",29219,437.76,437.74,429.28,431.7,431.31,428.6,6.06,6.43
"Washington, MO",29221,762.5,762.46,762.23,759.85,759.59,759.91,2.65,2.87
"Wayne, MO",29223,774.13,774.09,762.41,761.08,761.03,759.18,13.05,13.05
"Webster, MO",29225,593.74,593.69,593.72,593.41,593.32,592.56,0.33,0.37
"Worth, MO",29227,266.77,266.75,266.16,266.54,266.52,266.61,0.23,0.23
"Wright, MO",29229,683.24,683.18,682.3,682.35,682.13,681.77,0.89,1.05
"St. Louis city, MO",29510,66.15,66.15,61.4,61.93,61.92,61.91,4.22,4.23
MONTANA,30000,147046.16,147042.4,145388.15,145556.34,145552.43,145545.8,1489.82,1489.96
"Beaverhead, MT",30001,5572.35,5572.04,5528.53,5542.62,5542.31,5541.62,29.73,29.73
"Big Horn, MT",30003,5014.72,5014.65,4982.52,4994.88,4994.81,4995.46,19.84,19.84
"Blaine, MT",30005,4238.98,4238.92,4257.4,4226.24,4226.18,4227.55,12.74,12.74
"Broadwater, MT",30007,1238.94,1238.94,1188.52,1191.49,1191.35,1192.54,47.45,47.59
"Carbon, MT",30009,2062.26,2062.19,2055.94,2048.07,2047.99,2048.79,14.19,14.2
"Carter, MT",30011,3348.41,3348.29,3342.43,3339.68,3339.57,3340.75,8.73,8.73
"Cascade, MT",30013,2711.74,2711.65,2698.8,2698.02,2697.9,2698.16,13.72,13.75
"Chouteau, MT",30015,3997.13,3997,3987.47,3973.43,3973.24,3972.49,23.7,23.76
"Custer, MT",30017,3793.37,3793.22,3775.91,3783.28,3783.13,3783.36,10.09,10.09
"Daniels, MT",30019,1426.57,1426.52,1426.9,1426.14,1426.09,1426.11,0.43,0.43
"Dawson, MT",30021,2383.23,2383.13,2374.03,2373.27,2373.14,2371.87,9.96,9.99
"Deer Lodge, MT",30023,741.27,741.16,740.21,736.93,736.98,736.53,4.34,4.19
"Fallon, MT",30025,1623.06,1623.02,1622.86,1620.37,1620.33,1620.77,2.69,2.69
"Fergus, MT",30027,4350.51,4350.36,4340.14,4339.31,4339.17,4339.8,11.2,11.2
"Flathead, MT",30029,5256.6,5256.45,5112.36,5098.6,5098.34,5087.66,158,158.11
"Gallatin, MT",30031,2532.73,2631.84,2509.78,2506.85,2605.84,2602.69,25.88,26
"Garfield, MT",30033,4847.66,4847.54,4491.16,4668.18,4668.06,4675.36,179.48,179.48
"Glacier, MT",30035,3037.12,3037.11,2994.46,2994.75,2994.72,2995.94,42.37,42.39
"Golden Valley, MT",30037,1176.42,1176.4,1171.69,1175.32,1175.3,1175.34,1.1,1.1
"Granite, MT",30039,1733.17,1733.11,1729.19,1727.52,1727.44,1727.42,5.65,5.67
"Hill, MT",30041,2916.07,2916.05,2897.29,2896.38,2896.36,2898.96,19.69,19.69
"Jefferson, MT",30043,1658.89,1658.83,1656.52,1656.7,1656.64,1656.26,2.19,2.19
"Judith Basin, MT",30045,1870.75,1870.71,1870.72,1869.89,1869.85,1869.82,0.86,0.86
"Lake, MT",30047,1653.75,1653.72,1444.93,1493.81,1493.77,1490.15,159.94,159.95
"Lewis and Clark, MT",30049,3497.63,3497.56,3461.3,3461.03,3460.96,3458.83,36.6,36.6
"Liberty, MT",30051,1447.18,1447.19,1426.45,1429.8,1429.76,1430.05,17.38,17.44
"Lincoln, MT",30053,3675.22,3675.11,3615.86,3612.79,3612.67,3612.92,62.43,62.44
"McCone, MT",30055,2682.84,2682.77,2626.24,2642.59,2642.53,2643.17,40.25,40.25
"Madison, MT",30057,3602.93,3602.85,3589.77,3586.63,3586.54,3587.48,16.3,16.31
"Meagher, MT",30059,2394.87,2394.83,2392.07,2391.85,2391.82,2391.91,3.02,3.02
"Mineral, MT",30061,1223.43,1223.38,1215.96,1219.87,1219.82,1219.44,3.56,3.56
"Missoula, MT",30063,2618.39,2618.34,2582.28,2598.21,2597.97,2593.42,20.18,20.37
"Musselshell, MT",30065,1870.94,1870.91,1870.6,1867.18,1867.15,1868.16,3.76,3.76
"Park, MT",30067,2666.73,2813.59,2664.66,2656.16,2802.41,2803.06,10.57,11.18
"Petroleum, MT",30069,1674.05,1674.01,1651.96,1653.94,1653.9,1654.87,20.11,20.11
"Phillips, MT",30071,5212.22,5212.17,5130.33,5139.88,5139.57,5140.04,72.34,72.6
"Pondera, MT",30073,1639.83,1639.85,1631.64,1624.67,1624.7,1622.86,15.16,15.16
"Powder River, MT",30075,3298.02,3297.94,3287.68,3297.26,3297.18,3297.3,0.76,0.76
"Powell, MT",30077,2332.71,2332.68,2329.31,2325.96,2325.94,2326.39,6.75,6.74
"Prairie, MT",30079,1742.61,1742.56,1732.48,1736.61,1736.55,1736.74,6,6
"Ravalli, MT",30081,2400.39,2400.32,2384.17,2394.3,2394.21,2390.82,6.09,6.11
"Richland, MT",30083,2103.08,2103.02,2081.4,2084.15,2084.09,2084.14,18.93,18.93
"Roosevelt, MT",30085,2369.7,2369.65,2357.29,2355.65,2355.6,2354.79,14.05,14.05
"Rosebud, MT",30087,5026.96,5026.94,5018.73,5012.39,5012.37,5010.4,14.57,14.57
"Sanders, MT",30089,2790.18,2790.03,2748.59,2762.29,2762.17,2760.52,27.89,27.86
"Sheridan, MT",30091,1706.38,1706.3,1680.69,1676.65,1676.58,1677.08,29.73,29.73
"Silver Bow, MT",30093,718.99,718.97,718.39,718.33,718.31,718.48,0.66,0.66
"Stillwater, MT",30095,1804.71,1804.61,1793,1794.73,1795.09,1795.35,9.98,9.52
"Sweet Grass, MT",30097,1862.1,1862,1903.46,1855.18,1855.08,1855.21,6.92,6.92
"Teton, MT",30099,2292.57,2292.58,2275.28,2272.6,2272.61,2272.38,19.97,19.97
"Toole, MT",30101,1945.82,1945.86,1930.71,1910.91,1910.95,1915.65,34.91,34.91
"Treasure, MT",30103,984.14,984.11,975.22,978.9,978.86,977.4,5.24,5.24
"Valley, MT",30105,5062.08,5061.98,4936.02,4920.94,4921,4925.82,141.14,140.98
"Wheatland, MT",30107,1428.37,1428.29,1419.4,1423.18,1423.09,1423.2,5.19,5.19
"Wibaux, MT",30109,890.12,890.09,888.4,889.34,889.31,889.27,0.78,0.78
"Yellowstone, MT",30111,2649.11,2649.05,2624.1,2635.21,2635.15,2633.29,13.9,13.9
"Yellowstone National Park, MT",30113,246.12,0,244.95,245.39,0,0,0.73,0
NEBRASKA,31000,77358.4,77353.73,76643.94,76877.73,76872.41,76824.17,480.67,481.31
"Adams, NE",31001,564.19,564.16,563.85,563.43,563.41,563.27,0.76,0.76
"Antelope, NE",31003,858.49,858.43,858.53,857.13,857.06,857.22,1.36,1.37
"Arthur, NE",31005,718.36,718.32,710.55,715.41,715.37,715.36,2.95,2.95
"Banner, NE",31007,746.43,746.37,747.2,746.28,746.22,746.11,0.15,0.15
"Blaine, NE",31009,714.39,714.34,714.43,710.8,710.74,710.87,3.59,3.59
"Boone, NE",31011,687.3,687.25,687.41,686.74,686.69,686.55,0.56,0.56
"Box Butte, NE",31013,1077.92,1077.84,1077,1075.38,1075.29,1075.29,2.54,2.54
"Boyd, NE",31015,544.64,544.59,532.29,540.1,540.05,539.94,4.54,4.54
"Brown, NE",31017,1225.15,1225.08,1213.85,1221.35,1221.28,1221.33,3.8,3.8
"Buffalo, NE",31019,975.31,975.27,945.41,968.07,967.99,968.11,7.24,7.28
"Burt, NE",31021,497.12,497.1,485.91,492.79,492.77,491.58,4.33,4.33
"Butler, NE",31023,584.43,584.41,584.2,583.61,583.59,584.91,0.82,0.82
"Cass, NE",31025,566.27,566.21,557.04,559.31,559.18,557.45,6.96,7.03
"Cedar, NE",31027,745.86,745.81,740.04,740.27,740.23,740.31,5.59,5.59
"Chase, NE",31029,897.67,897.63,893.52,894.53,894.5,894.42,3.14,3.14
"Cherry, NE",31031,6009.87,6009.54,5961.42,5960.75,5960.52,5960.42,49.12,49.02
"Cheyenne, NE",31033,1196.55,1196.45,1195.89,1196.44,1196.34,1196.29,0.11,0.11
"Clay, NE",31035,573.56,573.53,573.92,573.07,573.03,572.29,0.49,0.49
"Colfax, NE",31037,418.61,418.58,410.34,413.17,413.14,411.66,5.44,5.44
"Cuming, NE",31039,574.58,574.54,574.57,572.04,572,570.62,2.54,2.54
"Custer, NE",31041,2576.21,2576.08,2571.28,2575.83,2575.71,2575.52,0.38,0.37
"Dakota, NE",31043,267.41,267.39,257.6,263.97,263.8,264.26,3.44,3.6
"Dawes, NE",31045,1400.9,1400.86,1397.29,1396.28,1396.24,1396.46,4.62,4.62
"Dawson, NE",31047,1019.34,1019.3,981.92,1012.94,1012.92,1013.1,6.4,6.37
"Deuel, NE",31049,440.83,440.79,437.27,439.93,439.89,439.85,0.9,0.9
"Dixon, NE",31051,482.75,482.72,474.21,476.42,476.39,476.23,6.33,6.33
"Dodge, NE",31053,543.98,543.92,534.03,534.48,534.39,528.71,9.5,9.53
"Douglas, NE",31055,339.65,339.6,332.72,331.04,330.98,328.46,8.61,8.62
"Dundy, NE",31057,920.84,920.79,920.22,919.91,919.86,919.68,0.93,0.93
"Fillmore, NE",31059,576.66,576.62,576.45,576.5,576.46,575.37,0.16,0.16
"Franklin, NE",31061,576.13,576.11,576.1,575.94,575.92,575.82,0.19,0.19
"Frontier, NE",31063,980.11,980.06,975.63,974.6,974.55,974.59,5.51,5.51
"Furnas, NE",31065,720.53,720.51,720.92,718.11,718.09,719.13,2.42,2.42
"Gage, NE",31067,859.99,859.94,858.03,855.33,855.29,851.49,4.66,4.65
"Garden, NE",31069,1731.15,1731,1680.3,1704.55,1704.4,1704.28,26.6,26.6
"Garfield, NE",31071,571.36,571.34,570.41,570.05,570.03,569.79,1.31,1.31
"Gosper, NE",31073,462.77,462.74,460.76,458.2,458.18,458.16,4.57,4.57
"Grant, NE",31075,783.27,783.23,774.84,776.27,776.22,776.22,7,7
"Greeley, NE",31077,570.74,570.71,570.41,569.87,569.85,569.81,0.87,0.85
"Hall, NE",31079,552.25,552.22,536.77,546.43,546.4,546.29,5.82,5.83
"Hamilton, NE",31081,546.76,546.77,542.6,543.68,543.68,542.88,3.08,3.09
"Harlan, NE",31083,574.2,574.18,555.12,552.77,552.78,553.47,21.43,21.4
"Hayes, NE",31085,713.37,713.33,713.31,713.15,713.11,713.06,0.22,0.22
"Hitchcock, NE",31087,718.62,718.57,708.91,710.08,710.03,709.94,8.54,8.54
"Holt, NE",31089,2417.8,2417.65,2405.83,2412.82,2412.66,2412.4,4.98,4.99
"Hooker, NE",31091,721.54,721.51,720.62,721.2,721.17,721.12,0.34,0.34
"Howard, NE",31093,575.77,575.74,564.18,569.5,569.47,569.34,6.27,6.27
"Jefferson, NE",31095,575.53,575.5,574.52,573.05,573.01,570.19,2.48,2.48
"Johnson, NE",31097,376.84,376.82,376.56,376.18,376.13,376.05,0.66,0.69
"Kearney, NE",31099,516.15,516.13,518.61,516.05,516.03,516.24,0.1,0.11
"Keith, NE",31101,1109.85,1109.77,1039.12,1061.34,1061.26,1061.6,48.51,48.51
"Keya Paha, NE",31103,774.21,774.17,768.59,773.33,773.29,773.07,0.88,0.89
"Kimball, NE",31105,952.38,952.31,951.96,951.8,951.72,951.85,0.58,0.58
"Knox, NE",31107,1139.75,1139.65,1105.46,1108.21,1108.12,1108.35,31.54,31.53
"Lancaster, NE",31109,846.73,846.71,839.02,838.89,838.88,837.55,7.84,7.83
"Lincoln, NE",31111,2575.27,2575.1,2525.47,2564.17,2563.98,2564.07,11.1,11.12
"Logan, NE",31113,571.18,571.15,571.13,570.71,570.68,570.66,0.47,0.46
"Loup, NE",31115,571.06,571.02,574.05,569.75,569.71,568.29,1.31,1.31
"McPherson, NE",31117,860.06,860.02,859.35,859.02,858.98,858.98,1.04,1.04
"Madison, NE",31119,575.09,575.05,575.35,572.62,572.57,572.74,2.47,2.49
"Merrick, NE",31121,494.39,494.72,478.08,484.65,484.88,484.88,9.74,9.85
"Morrill, NE",31123,1429.92,1429.81,1404.96,1423.86,1423.75,1423.84,6.06,6.06
"Nance, NE",31125,448.08,448.04,439.43,441.35,441.32,441.63,6.73,6.73
"Nemaha, NE",31127,411.91,411.89,408.52,409.32,409.3,407.38,2.59,2.58
"Nuckolls, NE",31129,576,575.96,575.67,575.34,575.3,575.16,0.66,0.66
"Otoe, NE",31131,619.12,619.09,615.38,615.86,615.69,615.63,3.26,3.4
"Pawnee, NE",31133,432.97,432.95,432.6,431.72,431.57,431.08,1.25,1.38
"Perkins, NE",31135,884.33,884.27,884.61,883.17,883.18,883.34,1.16,1.1
"Phelps, NE",31137,540.62,540.6,539.89,539.99,539.97,539.79,0.63,0.64
"Pierce, NE",31139,575.31,575.27,574.74,573.96,573.93,573.25,1.35,1.34
"Platte, NE",31141,689.13,689.08,669.24,678.07,678.07,674.06,11.06,11.01
"Polk, NE",31143,441.13,440.72,437.13,439.11,438.84,438.35,2.02,1.88
"Red Willow, NE",31145,718.1,718.06,718.3,716.67,716.65,716.99,1.43,1.4
"Richardson, NE",31147,555.98,555.95,552.71,553.47,553.26,551.84,2.51,2.7
"Rock, NE",31149,1011.91,1011.85,1003.29,1008.51,1008.46,1008.32,3.4,3.4
"Saline, NE",31151,576.08,576.06,575.48,575.36,575.34,574.02,0.72,0.73
"Sarpy, NE",31153,247.29,247.28,238.16,240.67,240.52,238.99,6.62,6.76
"Saunders, NE",31155,758.91,758.82,752.8,754.06,753.9,750.23,4.85,4.92
"Scotts Bluff, NE",31157,745.57,745.5,725.18,739.35,739.27,739.4,6.22,6.22
"Seward, NE",31159,575.74,575.73,575.17,574.78,574.75,571.43,0.96,0.97
"Sheridan, NE",31161,2470.12,2469.99,2452.77,2441.18,2441.04,2440.86,28.94,28.95
"Sherman, NE",31163,571.66,571.63,563.5,565.88,565.84,565.83,5.78,5.78
"Sioux, NE",31165,2067.43,2067.32,2069.56,2066.7,2066.59,2066.74,0.73,0.73
"Stanton, NE",31167,431.08,431.06,430.8,429.85,429.83,427.95,1.23,1.23
"Thayer, NE",31169,575.36,575.3,575.04,574.58,574.55,573.81,0.78,0.75
"Thomas, NE",31171,713.69,713.65,713.4,712.9,712.86,713.24,0.79,0.79
"Thurston, NE",31173,396.27,396.25,390.63,393.83,393.81,393.58,2.44,2.44
"Valley, NE",31175,570.54,570.51,567.33,568.13,568.11,568.05,2.41,2.41
"Washington, NE",31177,393.79,393.76,386.21,390.48,390.49,389.96,3.31,3.27
"Wayne, NE",31179,443.52,443.48,443.16,443.47,443.43,442.92,0.05,0.05
"Webster, NE",31181,575.04,575.02,575.22,574.91,574.89,574.91,0.13,0.13
"Wheeler, NE",31183,575.61,575.57,574.93,575.2,575.17,575.18,0.41,0.41
"York, NE",31185,576.04,576.02,575.76,575.68,575.66,572.51,0.36,0.36
NEVADA,32000,110566.91,110560.71,109893.59,109805.89,109825.99,109781.18,761.02,734.71
"Churchill, NV",32001,5023.65,5023.38,4990.09,4929.34,4929.08,4930.46,94.31,94.3
"Clark, NV",32003,8091.05,8090.66,7881.29,7910.71,7910.34,7891.43,180.34,180.32
"Douglas, NV",32005,737.67,737.65,708.13,709.87,709.85,709.72,27.8,27.8
"Elko, NV",32007,17204.04,17202.94,17134.54,17181.56,17179.03,17169.83,22.48,23.91
"Esmeralda, NV",32009,3589.19,3589,3587.33,3588.69,3588.5,3581.88,0.5,0.5
"Eureka, NV",32011,4180.25,4179.96,4174.52,4175.97,4175.68,4175.68,4.28,4.28
"Humboldt, NV",32013,9658.42,9657.87,9698.05,9648.46,9647.91,9640.76,9.96,9.96
"Lander, NV",32015,5519.64,5519.47,5515.27,5493.8,5493.63,5490.11,25.84,25.84
"Lincoln, NV",32017,10637.44,10636.77,10634.64,10634.69,10633.61,10633.2,2.75,3.17
"Lyon, NV",32019,2016.49,2016.4,2006.77,1993.78,1993.69,2001.19,22.71,22.71
"Mineral, NV",32021,3813.17,3812.97,3744.24,3756.62,3756.4,3752.84,56.55,56.56
"Nye, NV",32023,18159.71,18158.73,18154.81,18147.24,18146.66,18181.92,12.47,12.07
"Pershing, NV",32027,6067.89,6067.55,6035.81,6009.11,6036.56,6036.56,58.78,30.99
"Storey, NV",32029,263.81,263.8,264.46,263.47,263.45,262.92,0.34,0.34
"Washoe, NV",32031,6551.48,6551.32,6316.5,6342.47,6342.27,6302.37,209.01,209.05
"White Pine, NV",32033,8897.17,8896.6,8901.55,8876.58,8875.98,8875.65,20.59,20.62
"Carson City city, NV",32510,155.85,155.66,145.59,143.54,143.35,144.66,12.31,12.31
NEW HAMPSHIRE,33000,9350.93,9349.94,8993.11,8969.36,8968.1,8952.65,381.57,381.84
"Belknap, NH",33001,468.59,468.55,404.18,401.32,401.29,400.23,67.27,67.26
"Carroll, NH",33003,992.32,992.24,932.56,933.91,933.8,931.06,58.41,58.44
"Cheshire, NH",33005,729.21,729.15,710.85,707.47,707.4,706.66,21.74,21.75
"Coos, NH",33007,1831.72,1831.44,1804.48,1800.65,1800.39,1794.69,31.07,31.06
"Grafton, NH",33009,1750.3,1750.08,1719.44,1713.51,1713.33,1708.75,36.79,36.75
"Hillsborough, NH",33011,892.28,892.2,876.32,876.48,876.36,876.14,15.8,15.84
"Merrimack, NH",33013,956.56,956.49,935.87,934.52,934.43,934.12,22.04,22.06
"Rockingham, NH",33015,794.04,793.96,699.11,695.24,694.96,694.72,98.8,99
"Strafford, NH",33017,383.95,383.91,370.36,368.83,368.76,368.98,15.12,15.15
"Sullivan, NH",33019,551.98,551.92,539.94,537.45,537.38,537.31,14.53,14.54
NEW JERSEY,34000,8721.95,8721.3,7467.92,7418.84,7417.34,7354.22,1303.11,1303.96
"Atlantic, NJ",34001,671.47,671.45,568.04,561.15,561.07,555.7,110.32,110.37
"Bergen, NJ",34003,246.82,246.8,236.83,234.2,234.17,233.01,12.62,12.63
"Burlington, NJ",34005,819.48,819.43,808.01,804.77,804.57,798.58,14.71,14.86
"Camden, NJ",34007,227.59,227.58,223.27,222.34,222.3,221.26,5.25,5.28
"Cape May, NJ",34009,620.29,620.28,262.7,255.21,255.19,251.43,365.08,365.09
"Cumberland, NJ",34011,676.57,676.59,497.95,489.32,489.3,483.7,187.25,187.29
"Essex, NJ",34013,129.59,129.56,127.11,126.29,126.27,126.21,3.3,3.29
"Gloucester, NJ",34015,337,336.92,327.23,324.87,324.72,322.01,12.13,12.2
"Hudson, NJ",34017,62.26,62.43,46.44,46.65,46.69,46.19,15.61,15.74
"Hunterdon, NJ",34019,437.85,437.76,426.49,430.09,429.94,427.82,7.76,7.82
"Mercer, NJ",34021,228.87,228.84,226.56,225.95,225.93,224.56,2.92,2.91
"Middlesex, NJ",34023,322.65,322.51,316.02,310.63,309.72,308.91,12.02,12.79
"Monmouth, NJ",34025,665.34,665.12,472.27,471.86,471.94,468.79,193.48,193.18
"Morris, NJ",34027,481.36,481.29,470.48,469.07,468.99,460.18,12.29,12.29
"Ocean, NJ",34029,915.9,915.88,641.25,636.34,636.28,628.78,279.56,279.6
"Passaic, NJ",34031,197.07,197.05,187.19,185.05,185.29,184.59,12.02,11.76
"Salem, NJ",34033,372.54,372.57,337.92,337.84,337.88,331.9,34.7,34.69
"Somerset, NJ",34035,305.07,305.05,304.57,304.73,304.69,301.81,0.34,0.36
"Sussex, NJ",34037,535.96,535.99,525.54,521.24,521.26,519.01,14.72,14.73
"Union, NJ",34039,105.46,105.46,103.18,103.29,103.29,102.86,2.17,2.17
"Warren, NJ",34041,362.78,362.75,358.87,357.92,357.87,356.92,4.86,4.89
NEW MEXICO,35000,121598.23,121589.48,121334.95,121364.54,121355.53,121298.15,233.69,233.96
"Bernalillo, NM",35001,1168.77,1168.65,1168.54,1166.16,1166.03,1160.83,2.61,2.62
"Catron, NM",35003,6929.49,6929.03,6928.72,6928.27,6927.81,6923.69,1.22,1.22
"Chaves, NM",35005,6075.6,6075.07,6065.68,6071.39,6070.86,6065.28,4.21,4.21
"Cibola, NM",35006,4542.07,4541.71,0,4539.56,4539.21,4539.48,2.51,2.5
"Colfax, NM",35007,3768.29,3768.05,3762.33,3756.91,3756.79,3758.06,11.38,11.26
"Curry, NM",35009,1407.78,1407.67,1407.78,1406.06,1405.95,1404.8,1.72,1.72
"De Baca, NM",35011,2334.02,2333.83,2322.85,2325.06,2324.87,2322.62,8.96,8.96
"Dona Ana, NM",35013,3814.88,3814.62,3818.73,3807.44,3807.18,3807.51,7.44,7.44
"Eddy, NM",35015,4197.8,4197.57,4184.09,4182.25,4182.02,4175.73,15.55,15.55
"Grant, NM",35017,3967.79,3967.5,3969.3,3966.17,3965.88,3961.63,1.62,1.62
"Guadalupe, NM",35019,3031.81,3031.58,3032.13,3030.61,3030.37,3030.48,1.2,1.2
"Harding, NM",35021,2126.1,2125.95,2122.27,2125.49,2125.34,2125.44,0.61,0.61
"Hidalgo, NM",35023,3446.2,3445.91,3445.21,3445.92,3445.63,3436.86,0.28,0.28
"Lea, NM",35025,4394.33,4394.02,4389.37,4393.27,4392.96,4390.93,1.06,1.06
"Lincoln, NM",35027,4831.64,4831.25,4832.39,4831.45,4830.97,4831.09,0.19,0.28
"Los Alamos, NM",35028,109.35,109.35,109.32,109.35,109.35,109.17,0,0
"Luna, NM",35029,2965.5,2965.28,2965.24,2965.31,2965.09,2965.19,0.19,0.19
"McKinley, NM",35031,5455.62,5455.22,5441.98,5449.13,5448.72,5449.81,6.49,6.49
"Mora, NM",35033,1933.6,1933.48,1929.67,1931.22,1931.1,1931.27,2.38,2.38
"Otero, NM",35035,6627.84,6627.43,6626.08,6626.94,6626.5,6613.21,0.9,0.93
"Quay, NM",35037,2881.98,2881.8,2874.19,2875.11,2874.93,2874.35,6.87,6.87
"Rio Arriba, NM",35039,5896.53,5896.1,5856.26,5858.06,5857.63,5860.84,38.47,38.47
"Roosevelt, NM",35041,2455.08,2454.87,2452.73,2448.7,2448.5,2447.43,6.38,6.37
"Sandoval, NM",35043,3714.65,3714.32,3706.68,3709.66,3709.34,3710.65,4.99,4.98
"San Juan, NM",35045,5538.71,5538.36,5521.46,5514.39,5514.02,5513.07,24.32,24.35
